数据类别,数据项目,论文中的值,官方/行业值,数据来源,官方网址,可核实程度,核实状态,备注
销量数据,2024年新能源汽车全国销量,1286.6万辆,1286.6万辆,中国汽车工业协会,https://www.news.cn/auto/20250113/25673737a0724eb59f0314189a643e5a/c.html,⭐⭐⭐,✓完全吻合,发布日期：2025年1月13日
销量数据,2024年新能源汽车全国产量,1288.8万辆,1288.8万辆,中国汽车工业协会,https://finance.sina.com.cn/roll/2025-01-13/doc-ineevrax9640773.shtml,⭐⭐⭐,✓完全吻合,新浪财经报道
销量数据,新能源汽车占汽车总销量比例,40.9%,40.9%,中国汽车工业协会,https://m.bjnews.com.cn/detail/1736765515168445.html,⭐⭐⭐,✓确认,2024年数据
销量数据,纯电动汽车销量占比,60%,60%,中国汽车工业协会,https://www.news.cn/auto/20250113/25673737a0724eb59f0314189a643e5a/c.html,⭐⭐⭐,✓确认,较2023年下降10.4个百分点
销量数据,插电混动汽车销量占比,40%,40%,中国汽车工业协会,https://finance.sina.com.cn/roll/2025-01-13/doc-ineevrax9640773.shtml,⭐⭐⭐,✓确认,较2023年提高10.4个百分点
退役电池,2025年退役电池量预测,82万吨,82万吨,中国电子节能技术协会/国务院会议,https://www.gov.cn/zhengce/202502/content_7004966.htm,⭐⭐⭐,✓完全吻合,国务院常务会议2025年2月21日确认
退役电池,2024年实际回收量,参考,65.4万吨,EVTank & 行业统计,https://www.xkb.com.cn/articleDetail/405893,⭐⭐⭐,✓可参考,中国以65万吨贡献全球54%份额
退役电池,2030年退役电池预测,百万吨级,>400万吨,行业预测,https://www.xkb.com.cn/articleDetail/405893,⭐⭐⭐,✓一致,年均复合增长率37.64%
碳市场,2025年碳价均价,60-100元,62.36元/吨CO₂,生态环保部,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202601/t20260101_1139528.shtml,⭐⭐⭐,✓准确,偏低3.6%
碳市场,论文校准碳价,65元/吨CO₂,62.36元/吨CO₂,论文设定,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202601/t20260101_1139528.shtml,⭐⭐⭐,✓合理,2026年1月1日最新公布
碳市场,2025年年底碳价,参考70左右,74.63元/吨CO₂,生态环保部,https://finance.sina.com.cn/roll/2026-01-01/doc-inheuffu3227177.shtml,⭐⭐⭐,✓在范围内,收盘价数据
白名单,格林美企业身份,回收领先企业,第一批（2018年）入选,工信部白名单,https://www.stcn.com/article/detail/1540273.html,⭐⭐⭐,✓✓✓确认,五大回收中心年拆解能力55万吨
白名单,邦普循环企业身份,宁德时代子公司,白名单企业,工信部白名单,https://www.stcn.com/article/detail/1540273.html,⭐⭐⭐,✓✓✓确认,湖南长沙12万吨/年基地
白名单,宁德时代企业身份,行业领先,白名单企业,工信部白名单,https://www.stcn.com/article/detail/1540273.html,⭐⭐⭐,✓✓✓确认,有回收业务板块
白名单,工信部白名单总数,参考,5批共156家,工信部公告,https://finance.sina.com.cn/stock/relnews/cn/2025-05-21/doc-inexhsqn8199845.shtml,⭐⭐⭐,✓确认,截至2023年底
回收率,2025年回收率政策目标,28%,25%-30%,国务院+工信部,https://www.gov.cn/zhengce/202502/content_7004966.htm,⭐⭐⭐,✓中间值,28%为政策目标中间值
回收率,2023年规范化回收率,参考,<25%,国务院发展研究中心,https://www.xkb.com.cn/articleDetail/405893,⭐⭐⭐,✓有待提升,行业规范化回收率低
运输成本,单位公里运输成本,1.6元/包·km,1.2-1.8元,行业推荐值,https://li-b.cn/post/46998.html,⭐⭐,✓在范围内,中间偏高位置
碳排放因子,单位碳排放因子,0.0004吨CO₂/包·km,0.00029-0.0008,行业范围,https://www.evtank.cn/DownloadDetail.aspx?ID=547,⭐⭐,✓在范围内,考虑危废运输特殊要求
固定成本,回收中心平均固定成本,5000-7000万元,4-8亿投资规模,邦普/格林美年报,https://www.stcn.com/article/detail/1540273.html,⭐⭐,✓合理,按10-20年运营期折旧化
处理容量,单厂处理容量标准,40000吨/年,1-5万吨（白名单），40000吨典型值,工信部规范条件,https://www.stcn.com/article/detail/1540273.html,⭐⭐⭐,✓行业标准,贴合白名单企业规模
逆向物流,逆向物流最优半径,600km,300-600km,行业实践标准,https://www.chinaev100.com/focus/detail/1789,⭐⭐⭐,✓确认,危废运输成本与监管要求
碳配额,企业级碳配额,150万吨CO₂,行业平均≥100万吨,论文场景假设,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202601/t20260101_1139528.shtml,⭐⭐,⚠️场景假设,头部企业碳配额冗余特征
政策,国务院常务会议决议,"健全新能源汽车动力电池回收利用体系行动方案",2025年2月21日通过,国务院,https://www.gov.cn/zhengce/202502/content_7004966.htm,⭐⭐⭐,✓最新政策,确认2025年退役量82万吨目标
政策,工信部规范条件,"新能源汽车废旧动力电池综合利用行业规范条件(2024年本)",2024年12月发布,工信部,https://www.stcn.com/article/detail/1540273.html,⭐⭐⭐,✓最新,2025年1月1日起实施
